Age,Employment_Type,Annual_Income,Employment_Duration_Years,Number_of_Dependents,Loan_Purpose,Loan_Amount,Loan_Tenure_Months,Existing_Loans_Count,Total_Outstanding_Debt,Existing_Monthly_EMI,Debt_to_Income_Ratio,Loan_to_Income_Ratio,Credit_Utilization,Previous_Defaults,Missed_Payments,Maximum_Days_Past_Due,Recent_Credit_Enquiries,Credit_History_Length,Number_of_Credit_Accounts,Payment_History,Credit_Score,Decision
32,Self-Employed,870200,5.8,1,Education,759000,72,4,688800,18360,45.09,87.22,23.57,0,0,0,1,17,7,100,728,1
63,Salaried,936000,4.5,1,Vehicle,991000,60,1,74600,2260,31.24,105.88,35.09,0,0,0,3,35,3,96.6,779,1
22,Salaried,990000,9,1,Personal,740000,60,1,98700,2240,25.03,74.75,9.12,1,1,9,3,0.5,3,88.61,606,1
54,Salaried,538800,5.3,0,Vehicle,238000,24,0,0,0,25.16,44.17,13.18,0,0,0,2,26.1,2,99.47,775,1
44,Salaried,844100,7.3,2,Home,1888000,36,2,749200,20530,95,223.67,46.79,0,0,0,2,17.4,6,97.88,668,0
26,Professional,253800,4.7,1,Medical,260000,36,3,571800,19630,95,102.44,6.56,0,2,13,2,4.1,6,91.96,686,1
56,Salaried,259100,10.3,2,Personal,72000,48,1,41500,830,12.24,27.79,75.34,0,1,18,0,27.2,4,94.78,684,1
28,Business Owner,1017700,9.4,0,Personal,2689000,24,3,734000,24080,95,264.22,17.02,0,2,23,3,0.5,7,88.56,660,0
33,Contract,812800,0.5,2,Personal,917000,72,2,533500,17500,51.58,112.82,39.79,1,3,53,2,12.3,6,84.93,663,0
25,Salaried,1180000,4.9,0,Education,2552000,24,2,1590100,32840,95,216.27,40.32,0,1,9,3,0.5,5,98.29,636,0
35,Business Owner,569300,9.3,2,Personal,950000,36,1,893200,27690,95,166.87,35.17,0,4,36,1,13.4,4,86.28,657,0
36,Contract,658600,5.6,0,Vehicle,1328000,72,2,1277400,45680,95,201.64,29.17,0,1,10,1,14,4,95.9,709,0
43,Salaried,457400,3.9,1,Personal,469000,36,2,570700,20060,95,102.54,35.43,0,1,18,2,26.4,4,96.48,731,0
57,Salaried,1183600,0.5,1,Personal,1381000,60,1,129300,5220,36.5,116.68,39.23,0,1,8,1,31.2,4,99.35,764,1
32,Professional,587600,0.5,1,Education,367000,84,1,79000,2030,16.38,62.46,29.38,0,0,0,1,9.4,2,100,677,1
21,Salaried,603500,8.3,2,Personal,1601000,84,1,68700,2830,63.84,265.29,31.95,1,1,17,3,1.7,5,87.85,625,0
42,Salaried,731600,7.8,0,Medical,1998000,60,0,0,0,72.89,273.1,9.16,0,1,5,4,22.4,2,98.93,735,0
31,Professional,1062700,4.1,1,Personal,875000,24,4,1410800,44140,95,82.34,33.98,0,0,0,0,0.7,7,100,657,0
51,Professional,657400,1.4,1,Medical,758000,36,0,0,0,49.99,115.3,28.92,0,2,22,2,28.1,2,100,776,1
36,Salaried,712000,5.8,1,Education,654000,60,3,878600,29680,75.56,91.85,29.46,1,2,23,2,17,7,87.47,692,0
30,Self-Employed,2872900,5.5,0,Home Renovation,5000000,36,2,635000,23810,83.22,174.04,41.8,0,0,0,7,12.2,5,100,692,0
27,Business Owner,310800,3.3,1,Consumer Durable,348000,60,1,1157000,22270,95,111.97,12.77,0,0,0,2,0.5,4,100,675,0
41,Professional,581900,10.7,1,Education,335000,36,2,76600,1930,25.96,57.57,23.4,0,0,0,1,13.9,4,100,761,1
34,Salaried,834000,1.8,2,Medical,1740000,60,2,470000,12300,78.55,208.63,46.62,1,3,51,3,9.2,5,76.99,598,0
48,Salaried,1073200,10.6,2,Education,1361000,60,0,0,0,34.15,126.82,9.58,2,4,45,2,29.2,3,72.94,688,1
34,Salaried,324700,14.8,3,Consumer Durable,143000,24,0,0,0,26.27,44.04,41.93,0,1,11,2,10,5,97.24,647,1
48,Professional,1525400,12.4,2,Vehicle,2387000,60,2,756000,16870,54.56,156.48,29.21,0,0,0,2,24.8,9,99.06,732,1
24,Self-Employed,465400,8.2,0,Medical,1030000,72,1,10900,500,60.89,221.31,35.76,1,6,84,7,0.5,6,74.53,551,0
21,Contract,461200,3.8,1,Personal,453000,60,0,0,0,26.97,98.22,7.68,0,1,6,2,0.5,2,95.51,686,1
43,Salaried,1013100,6.2,2,Home Renovation,2339000,48,0,0,0,75.11,230.88,24.24,1,1,15,2,20.7,1,84.97,719,0
32,Salaried,1131100,2.2,4,Personal,864000,72,0,0,0,18.07,76.39,48.37,1,1,9,2,5.3,3,93.26,610,0
34,Salaried,649700,0.6,2,Personal,811000,36,0,0,0,52.55,124.83,37.6,0,1,10,4,9.5,2,95.39,674,0
27,Salaried,1038100,3.6,2,Vehicle,1569000,48,1,418800,11680,66.18,151.14,18.15,1,0,0,5,0.5,4,92.07,608,0
27,Salaried,796800,3.1,1,Personal,1195000,36,1,294200,7510,69.48,149.97,46.89,0,1,18,2,5.1,2,96.33,665,0
41,Salaried,433200,4.9,4,Business,634000,72,1,531200,21080,90.33,146.35,7.76,0,2,22,2,17.1,3,96.59,728,0
36,Business Owner,682800,2,1,Education,885000,60,1,273300,10090,55.14,129.61,48.98,1,1,12,1,11.5,3,89.01,649,1
27,Salaried,359800,7,2,Education,204000,48,2,580500,17610,75.72,56.7,25.77,0,1,15,0,2.7,6,100,669,0
43,Salaried,1167800,3.6,3,Personal,1753000,36,1,106900,2100,66.85,150.11,36.04,1,2,26,3,17.3,2,86.76,692,0
46,Salaried,764900,3.8,4,Vehicle,982000,12,0,0,0,95,128.38,35.92,0,0,0,1,18.6,4,100,729,1
35,Business Owner,1322100,4.4,0,Business,1065000,36,1,84500,2640,34.04,80.55,34.68,0,0,0,1,12.8,5,98.84,712,1
45,Self-Employed,1037600,1.1,4,Medical,1233000,24,1,179000,3750,72.18,118.83,59.02,0,0,0,1,14.4,6,99.54,665,1
27,Salaried,1447800,2,2,Medical,2175000,24,2,195900,5080,89.24,150.23,29.63,0,0,0,4,3.5,6,99.93,670,0
41,Salaried,978200,3,3,Vehicle,2571000,48,1,63900,2270,89.73,262.83,51.16,0,0,0,1,18.2,7,100,681,0
37,Contract,653400,0.5,2,Home,478000,36,0,0,0,31.06,73.16,27.18,0,0,0,6,9.3,3,100,655,1
29,Salaried,292100,6.2,1,Personal,531000,12,1,405200,11910,95,181.79,33.43,1,1,10,3,2.4,2,86.74,599,0
53,Salaried,689300,5.5,0,Business,542000,84,1,1986000,52150,95,78.63,51.02,1,3,27,1,28.4,5,82.03,686,0
38,Salaried,1616400,5.8,1,Medical,4096000,24,0,0,0,95,253.4,29.96,0,0,0,2,7.9,4,100,687,0
31,Business Owner,465300,1.6,0,Business,341000,12,0,0,0,77.65,73.29,28.04,0,0,0,0,1.7,3,98.45,650,0
36,Self-Employed,721700,11.3,2,Personal,1247000,84,0,0,0,38.35,172.79,21.7,0,0,0,0,9.9,2,100,691,1
29,Contract,373300,6.6,0,Personal,447000,60,0,0,0,34.36,119.74,39.73,0,1,9,2,0.5,2,91.19,637,1
26,Salaried,776000,6.9,1,Education,1278000,84,3,1906600,57420,95,164.69,27.34,0,0,0,2,3.6,4,97.1,699,0
32,Salaried,638900,3.6,2,Home Renovation,576000,48,0,0,0,27.41,90.15,34.13,1,0,0,2,4,1,90.73,648,0
33,Business Owner,610000,7.1,1,Personal,1298000,60,4,1276300,41230,95,212.79,25.51,0,1,10,3,4,6,98.53,647,0
29,Self-Employed,655100,4.5,3,Education,264000,60,1,38500,1520,13.13,40.3,35.43,1,0,0,2,14.5,4,93.21,683,0
47,Salaried,1460300,10.2,1,Personal,1505000,24,3,678700,22260,77.88,103.06,37.46,0,1,16,3,24.1,5,100,773,1
29,Salaried,469700,0.5,2,Personal,906000,60,0,0,0,54.35,192.89,10.5,2,4,68,4,6,3,72.11,582,0
28,Salaried,492100,6.1,1,Personal,1089000,72,0,0,0,60.54,221.3,41.71,0,1,15,2,0.8,2,100,639,0
26,Business Owner,700000,5.1,2,Education,1881000,24,2,431400,13080,95,268.71,51.18,0,1,9,2,0.5,3,98.68,619,0
25,Self-Employed,961700,7.3,4,Medical,1201000,24,0,0,0,69.26,124.88,23.52,0,1,18,4,4,2,100,688,1
45,Salaried,1256900,10.4,1,Vehicle,793000,24,2,170600,5150,39.87,63.09,34.6,0,0,0,4,16.8,6,100,746,1
38,Salaried,725300,9.3,3,Home,951000,72,0,0,0,35.72,131.12,18.63,0,1,5,1,7.9,3,97.91,714,1
42,Contract,320800,5.8,3,Personal,772000,12,1,140700,4660,95,240.65,42.57,0,1,15,3,19.6,6,95.82,688,0
45,Business Owner,673100,6.3,0,Home Renovation,1608000,60,2,428200,10910,80.97,238.89,23.43,0,2,12,2,27.2,5,98.8,732,0
33,Business Owner,531000,0.5,1,Business,777000,36,0,0,0,58.01,146.33,8.5,0,1,15,3,7.8,3,93.92,696,0
49,Salaried,621300,5.6,0,Personal,180000,60,1,212600,5250,18.23,28.97,40.77,0,1,7,2,25.2,5,98.62,726,1
31,Salaried,636000,11,0,Business,180000,72,1,94500,2410,10.73,28.3,45.97,1,1,9,3,8.7,3,92.95,651,1
27,Salaried,555300,5.3,2,Personal,1012000,24,2,214300,7980,95,182.24,14.1,0,0,0,4,0.5,4,98.11,673,0
39,Salaried,763300,3.3,1,Business,2084000,60,1,98700,3510,85.44,273.03,36.25,0,1,7,5,19.9,4,99.05,716,0
37,Business Owner,546700,2.1,2,Medical,632000,60,2,370000,8500,51.04,115.6,32.04,0,2,21,3,12.2,4,91.23,703,1
37,Professional,428800,4.6,1,Personal,287000,24,0,0,0,37.01,66.93,27.74,0,0,0,1,8.9,2,100,670,1
45,Salaried,496500,4.9,0,Vehicle,1039000,48,2,882500,19350,95,209.26,28.03,0,1,13,0,21.7,5,95.81,762,1
37,Professional,467300,1.1,2,Vehicle,670000,36,1,590400,24670,95,143.38,48.6,0,1,8,3,12.3,6,91.7,655,0
39,Self-Employed,817600,6,1,Personal,2245000,72,3,525900,14800,94.54,274.58,42.16,0,0,0,1,16.6,4,100,666,0
48,Salaried,1078400,6.7,1,Home Renovation,2727000,60,1,131200,5210,72.51,252.87,31.59,0,0,0,3,19.1,2,99.48,740,1
38,Professional,700400,4.1,0,Medical,447000,36,3,442600,17680,56.23,63.82,44.61,1,0,0,3,11,6,89.49,672,0
40,Salaried,482700,9.6,3,Vehicle,219000,36,1,217100,5040,31.24,45.37,39.86,0,1,17,0,20.3,4,94.71,736,0
24,Salaried,300800,5.9,1,Personal,740000,36,0,0,0,95,246.01,40.81,0,1,15,2,0.5,4,95.89,640,0
65,Professional,505900,4.1,1,Home,1086000,60,1,929500,25640,95,214.67,16.68,0,0,0,3,35,2,100,791,0
22,Business Owner,1315100,9.9,2,Vehicle,1568000,60,1,777100,25990,55.64,119.23,9.46,0,1,12,3,0.5,3,98.87,701,1
31,Salaried,718800,3.9,1,Consumer Durable,437000,60,0,0,0,18.16,60.8,20.6,0,1,10,2,9.9,2,96.63,712,1
31,Professional,1028700,5.2,1,Home Renovation,1021000,60,0,0,0,29.07,99.25,7.93,0,0,0,4,10.2,5,98.18,732,1
54,Salaried,407200,2.8,4,Home,256000,60,1,437300,12180,51.65,62.87,41.12,1,2,28,3,33.8,3,87.43,752,1
31,Professional,679100,0.5,2,Business,1494000,48,0,0,0,66.64,220,39.81,0,0,0,7,3.2,4,100,640,0
40,Business Owner,532400,0.5,1,Business,1070000,48,1,117200,3980,77.13,200.98,33.4,0,0,0,0,22.9,4,98.19,747,0
31,Contract,797500,6.6,3,Personal,748000,36,1,54200,1800,39.61,93.79,27.58,0,2,11,2,13.6,4,91.92,695,0
27,Salaried,1341800,6.4,1,Personal,665000,36,1,75100,1830,22.75,49.56,13.31,0,2,17,0,12.1,3,91.29,725,1
41,Salaried,909700,3.6,1,Home Renovation,850000,72,1,59900,2340,26.48,93.44,25.42,1,3,36,2,20.6,5,81.4,699,0
30,Professional,1130300,8,3,Home,1486000,84,0,0,0,28.35,131.47,39.03,0,1,6,5,8.8,4,97.53,656,0
38,Salaried,483000,8.6,0,Business,593000,60,0,0,0,35.18,122.77,37.22,0,3,26,0,16,4,93.91,693,1
41,Salaried,551700,3.6,2,Business,869000,36,1,240000,9610,87.18,157.51,23.03,0,1,13,4,13.4,5,97.49,680,1
52,Salaried,405400,1.1,0,Personal,1027000,60,0,0,0,75.08,253.33,55.58,0,1,8,4,32.3,2,97.12,732,0
25,Salaried,586500,4.8,2,Home,1368000,48,0,0,0,79.37,233.25,41.85,0,0,0,6,5.8,2,100,627,0
35,Self-Employed,1028500,4.7,1,Vehicle,674000,84,0,0,0,13.38,65.53,52.21,0,1,16,4,8.2,3,95.93,657,1
35,Contract,294600,4.8,0,Vehicle,621000,72,1,216300,5450,69.84,210.79,30.07,0,0,0,5,9,3,99.43,663,0
36,Salaried,1337500,9.7,1,Education,705000,36,2,181200,5680,25.62,52.71,30.38,1,2,11,0,18.7,6,87.64,704,1
58,Salaried,604800,6,0,Vehicle,1576000,24,1,121700,4410,95,260.58,17.5,1,5,51,3,32.8,4,80.02,729,0
35,Self-Employed,326500,7.3,0,Education,204000,24,1,164000,4150,51.68,62.48,11.95,1,2,36,0,12.1,5,87.01,687,1
21,Salaried,738700,4.8,0,Vehicle,1175000,60,0,0,0,47.57,159.06,12.74,0,1,16,0,0.5,1,100,662,0
34,Salaried,624200,0.5,1,Personal,1460000,60,2,315400,9300,79.68,233.9,68.34,0,1,12,0,6.5,7,97.05,613,0
35,Salaried,1196300,10.5,2,Business,557000,36,0,0,0,18.22,46.56,25.15,0,0,0,0,10.1,3,96.75,693,1
34,Salaried,373700,8.7,1,Vehicle,612000,48,2,554000,14690,95,163.77,45.24,0,1,8,4,17.3,7,99.86,713,0
30,Self-Employed,256300,1,2,Medical,523000,60,0,0,0,50.87,204.06,32.17,1,3,34,5,4.5,2,84.75,616,0
25,Contract,337000,5.4,2,Vehicle,233000,60,0,0,0,17.85,69.14,21.45,0,2,30,1,0.5,3,96.83,670,1
54,Self-Employed,508500,6.6,2,Personal,1386000,24,1,615800,25030,95,272.57,23.99,0,0,0,4,22.5,5,99.35,711,0
39,Professional,620300,3.1,0,Personal,710000,72,3,386500,11390,48.58,114.46,54.62,0,2,34,0,21.5,5,95.5,714,1
34,Professional,603300,9.2,2,Business,1384000,36,0,0,0,95,229.4,40.05,0,1,15,5,8.3,1,100,675,0
54,Salaried,460200,4.3,4,Vehicle,554000,12,1,254900,8300,95,120.38,65.63,0,0,0,3,28.9,4,98.89,724,0
29,Salaried,445700,5.2,1,Home,1058000,60,0,0,0,59.19,237.38,15.74,0,0,0,2,3.9,4,96.96,683,0
41,Salaried,993600,5.2,3,Business,2196000,36,1,167700,6000,92.65,221.01,15.73,0,0,0,6,16.8,6,100,752,0
25,Salaried,1177500,7.6,2,Business,1866000,72,2,176800,4990,39.86,158.47,43.33,2,4,44,5,4.4,3,78.15,554,0
42,Business Owner,683700,5.3,3,Business,694000,24,3,1220900,31580,95,101.51,49.85,0,0,0,4,18.6,6,100,699,1
26,Salaried,1289900,5.5,2,Vehicle,1151000,48,2,318700,10630,38.18,89.23,26.33,0,0,0,2,0.5,5,99.63,701,0
40,Salaried,570200,5.4,2,Home,884000,24,0,0,0,85.14,155.03,59.9,0,1,12,3,18.4,4,98.42,648,0
53,Contract,313200,5.1,0,Vehicle,577000,60,1,693500,20520,95,184.23,23.5,1,3,25,2,31,7,78.04,720,0
37,Contract,422800,6.1,1,Home,361000,72,0,0,0,18.51,85.38,31.06,0,2,23,2,13.7,2,92.76,706,0
21,Professional,439500,2.1,2,Personal,1193000,36,3,1324100,40590,95,271.44,33.7,1,3,18,4,0.5,7,87.8,590,0
36,Self-Employed,824700,6.7,4,Personal,1707000,36,0,0,0,86.18,206.98,19.07,0,1,10,3,13.2,6,95.39,713,0
40,Professional,584600,5.8,0,Home,611000,36,2,611900,13410,69.87,104.52,11.91,0,0,0,0,13.1,4,100,738,1
44,Salaried,386000,12.1,4,Vehicle,634000,12,2,321800,11610,95,164.25,49.87,0,0,0,1,24.6,3,100,695,1
49,Salaried,504300,0.5,2,Business,526000,60,0,0,0,27.64,104.3,51.43,1,1,8,2,23.4,2,91,673,1
49,Self-Employed,569400,1.2,2,Medical,1224000,48,0,0,0,74.64,214.96,36.84,0,1,12,6,22.5,3,100,701,0
35,Salaried,821800,1.7,3,Personal,2198000,84,0,0,0,62.22,267.46,43.18,0,0,0,2,9.9,3,100,675,0
30,Salaried,850000,8,2,Home Renovation,469000,60,1,196300,5510,23.74,55.18,14.71,0,0,0,3,6.2,3,97.43,717,1
26,Salaried,1095200,8.5,0,Home,2663000,72,0,0,0,58.55,243.15,23.13,1,6,62,2,0.5,4,76.79,592,0
31,Salaried,614400,5.3,4,Vehicle,411000,72,0,0,0,15.66,66.89,8.71,0,1,14,2,9.4,2,98.63,710,1
40,Business Owner,1936300,3.1,0,Personal,4077000,48,3,779900,26320,88.45,210.56,11.35,0,0,0,5,15,5,100,726,1
25,Contract,1668400,3.5,1,Home,4099000,84,1,311600,6470,55.87,245.68,34.93,0,1,11,2,4.4,4,97.54,692,0
28,Professional,737300,3.6,1,Education,732000,24,0,0,0,57.56,99.28,43.8,0,1,16,0,0.5,2,99.79,664,0
41,Professional,617200,7.2,2,Medical,1346000,36,2,375500,9930,95,218.08,18.92,0,1,13,0,21.6,5,97.06,750,0
31,Salaried,1305200,4.2,1,Personal,1757000,48,1,76900,1780,46.68,134.62,24.32,1,2,24,3,9.6,4,89.25,655,0
39,Salaried,572700,4.9,0,Vehicle,1434000,24,0,0,0,95,250.39,45.62,0,0,0,2,12.3,3,99.28,675,0
29,Salaried,785300,0.5,3,Home Renovation,1644000,60,2,293000,9310,69.48,209.35,25.99,0,0,0,4,7.2,5,93.44,705,0
38,Salaried,381700,4.3,1,Medical,651000,48,0,0,0,56.68,170.55,16.06,1,2,27,5,14.2,3,85.79,670,0
29,Salaried,506000,3.4,1,Home,399000,12,0,0,0,83.6,78.85,17.73,0,3,40,1,10.7,3,90.08,686,0
21,Professional,918900,1.3,0,Home,1604000,12,1,1077200,33870,95,174.56,19.48,0,1,11,4,0.5,2,96.06,648,0
44,Salaried,655700,8.3,1,Personal,903000,12,0,0,0,95,137.72,34.54,0,0,0,3,15.7,2,100,718,1
30,Business Owner,792100,2.4,2,Personal,782000,48,1,72600,3020,38.79,98.72,21.86,0,1,12,0,4.6,3,98.14,713,1
34,Professional,600000,6.8,5,Education,784000,12,1,237700,9870,95,130.67,15.43,0,0,0,2,10.2,6,100,724,1
30,Professional,417900,2,2,Home,289000,48,2,287300,11490,56.9,69.16,9.79,0,3,43,0,9.7,6,84.88,699,0
41,Salaried,596300,6.6,2,Home,770000,48,0,0,0,38.71,129.13,43.17,0,0,0,1,17.5,4,100,719,1
39,Business Owner,1192300,1.8,1,Personal,3182000,36,2,211100,5840,95,266.88,11.35,1,5,54,5,17.9,3,73.23,649,0
41,Contract,682000,5,2,Personal,1631000,48,3,228400,5620,82.54,239.15,19.64,0,1,6,4,18.2,7,95.35,706,0
31,Salaried,563600,5.6,0,Home,699000,48,3,977200,31540,95,124.02,44.92,1,2,27,0,0.5,8,80.77,582,0
36,Salaried,359300,9.4,2,Vehicle,730000,72,1,38800,790,50.51,203.17,26.64,0,1,8,3,11,4,100,673,0
40,Self-Employed,894100,0.5,1,Home,1107000,12,1,177600,3800,95,123.81,17.3,0,0,0,3,16.6,3,100,738,1
49,Contract,787600,10.7,0,Consumer Durable,786000,36,1,171200,5810,49.35,99.8,38.54,0,0,0,3,25,3,100,729,1
39,Salaried,431100,5.3,0,Medical,771000,60,0,0,0,53.2,178.84,36.47,0,2,35,3,19.4,1,91.1,694,1
27,Self-Employed,605000,7.7,3,Education,765000,48,1,50100,1020,40.17,126.45,38.76,0,0,0,6,3.4,4,100,654,1
38,Salaried,881800,5,4,Personal,1882000,36,0,0,0,89.38,213.43,30.58,0,1,10,4,12.3,2,98.78,682,0
35,Self-Employed,402300,4.9,0,Home,663000,36,1,142400,5930,82.44,164.8,24.16,0,1,13,7,13,5,100,697,0
21,Salaried,325600,2.5,2,Home,529000,12,1,18200,500,95,162.47,20.36,0,1,7,3,0.5,6,93.15,646,0
21,Self-Employed,594500,5.7,1,Vehicle,841000,72,0,0,0,32.56,141.46,46.35,0,0,0,2,0.5,2,100,630,0
35,Business Owner,552800,6.5,1,Personal,1511000,72,0,0,0,67.44,273.34,47.01,0,1,6,4,7.8,2,95.85,656,0
36,Business Owner,564400,4.4,1,Personal,1443000,48,2,276700,5870,95,255.67,14.67,0,0,0,4,9.6,6,100,703,0
33,Salaried,446700,6.6,2,Personal,580000,36,1,650600,14870,90.68,129.84,28.34,0,1,13,3,6.5,3,94.04,676,0
44,Salaried,673700,2.5,3,Personal,448000,60,0,0,0,18.69,66.5,17.69,0,0,0,3,23.2,3,100,741,1
28,Salaried,546500,2.3,2,Consumer Durable,1180000,24,0,0,0,95,215.92,35.22,0,0,0,1,5.2,4,100,687,0
24,Salaried,884300,10,4,Personal,1291000,72,0,0,0,31.95,145.99,58.23,0,1,11,1,1.8,1,100,648,0
29,Salaried,399000,8,1,Personal,709000,12,0,0,0,95,177.69,18.6,0,0,0,4,6.4,2,97.84,700,0
31,Contract,647200,11.7,1,Personal,1031000,48,0,0,0,55.23,159.3,43.89,0,0,0,1,0.5,3,100,633,0
36,Business Owner,428200,11.6,0,Education,691000,12,1,511800,18430,95,161.37,6.43,0,1,11,1,20.8,4,97.89,769,0
29,Salaried,636200,6.8,2,Business,1722000,24,0,0,0,95,270.67,61.7,0,1,15,3,11.9,4,92.74,634,0
21,Professional,676400,3.9,2,Medical,637000,60,0,0,0,26.39,94.18,30.09,0,1,17,4,0.5,3,97.34,667,0
21,Professional,753000,7.3,3,Education,1198000,12,0,0,0,95,159.1,26.98,0,2,30,2,0.5,2,92.54,645,0
37,Salaried,487500,8.6,0,Home,199000,72,1,369400,15170,47.24,40.82,30.49,1,1,11,1,17.8,4,90.03,685,0
26,Contract,700300,2.8,0,Business,535000,60,0,0,0,20.98,76.4,51.93,1,4,71,3,6.3,2,80.15,576,0
21,Salaried,1083700,9.4,0,Medical,1936000,60,1,34400,1060,47.51,178.65,14.43,0,1,14,3,0.5,3,97.79,684,1
41,Professional,699200,8.9,2,Personal,1930000,24,3,359800,10800,95,276.03,30.06,0,0,0,5,15.6,5,96.91,688,0
49,Self-Employed,625400,1.3,1,Personal,1352000,48,0,0,0,72.69,216.18,44.56,0,2,30,1,23,3,97.72,707,0
35,Salaried,524500,4.5,1,Vehicle,263000,36,0,0,0,20.49,50.14,39.99,0,0,0,1,3.7,2,98.09,674,1
38,Salaried,705300,4.7,2,Education,1426000,24,2,901600,30670,95,202.18,46.24,0,3,35,2,12,4,92.15,668,0
38,Self-Employed,246700,4.5,0,Education,91000,48,4,580100,17860,95,36.89,21.17,0,1,11,3,17.5,8,96.68,698,1
21,Business Owner,615200,9.6,3,Education,1558000,12,0,0,0,95,253.25,22.19,0,0,0,6,1.1,6,99.89,656,0
44,Contract,775200,1.1,1,Business,715000,60,2,722000,18070,53.61,92.23,37.79,0,1,12,1,23.9,5,93.45,754,1
47,Business Owner,595900,4.8,3,Consumer Durable,1442000,36,3,552700,12940,95,241.99,41.3,0,0,0,1,18.1,8,100,682,1
52,Salaried,362100,5.5,1,Personal,320000,36,1,335600,12870,79.18,88.37,84.57,1,1,11,2,32.7,2,91.92,671,0
32,Business Owner,1330800,7.1,2,Consumer Durable,2365000,84,0,0,0,35.74,177.71,8.34,1,5,58,1,10.5,4,85.96,679,0
26,Salaried,309300,2.6,1,Consumer Durable,439000,36,3,668400,13900,95,141.93,66.06,0,0,0,4,0.5,6,97.7,635,1
48,Salaried,934000,8.2,2,Consumer Durable,1766000,36,0,0,0,76.44,189.08,6.95,0,1,9,1,18.6,4,95.25,767,1
40,Salaried,947500,14.6,1,Personal,2338000,48,0,0,0,86.14,246.75,41.25,0,0,0,2,14,4,100,663,0
43,Salaried,917900,6,3,Vehicle,828000,48,0,0,0,27.75,90.21,40.25,1,0,0,1,18.9,2,91.68,705,1
30,Professional,892500,9.3,1,Vehicle,1937000,12,1,335400,10870,95,217.03,37.85,0,0,0,1,12.7,2,100,680,0
38,Self-Employed,841400,5.3,1,Personal,1307000,48,1,670300,14810,69.59,155.34,41.95,0,0,0,1,15.8,2,100,699,0
27,Salaried,1190100,4,2,Vehicle,3291000,24,2,211700,7570,95,276.53,23.3,0,0,0,2,0.5,12,97.06,655,0
36,Salaried,706100,10.5,1,Education,582000,24,2,1846300,49660,95,82.42,34.29,0,0,0,3,10.5,5,100,657,0
33,Salaried,488400,6.1,4,Consumer Durable,824000,48,3,667000,22700,95,168.71,25.98,0,0,0,4,8.2,9,97.34,659,0
56,Salaried,1450700,3.6,1,Personal,3073000,36,1,38300,1450,92.93,211.83,22.96,0,0,0,4,34.6,4,98.89,792,1
41,Salaried,433200,0.5,1,Education,511000,24,3,743800,17550,95,117.96,64.68,1,8,99,1,14.5,5,64.98,596,0
21,Salaried,356500,7.8,2,Business,219000,24,0,0,0,34.47,61.43,45.05,1,2,28,2,0.5,2,88.35,576,0
36,Salaried,476300,2.9,0,Personal,1251000,36,0,0,0,95,262.65,46.49,0,0,0,3,12.7,5,97.95,689,0
39,Self-Employed,747300,0.5,2,Home,1495000,36,2,436000,13250,95,200.05,16.23,0,1,5,4,14.1,5,99.62,716,0
32,Salaried,708400,3.3,1,Education,1022000,36,0,0,0,61.7,144.27,21.98,0,0,0,3,11.1,4,100,705,1
27,Contract,481800,4.1,0,Vehicle,392000,72,1,201800,4000,31.24,81.36,16.95,0,0,0,0,7.3,4,100,720,1
42,Salaried,1023000,7,1,Personal,620000,72,0,0,0,15.33,60.61,21.35,0,0,0,3,22.6,4,100,775,1
28,Business Owner,612800,2.3,1,Personal,1511000,72,0,0,0,57.78,246.57,52,0,1,11,1,0.5,2,97.67,617,0
41,Self-Employed,598400,3,1,Education,270000,60,0,0,0,12.87,45.12,15.24,0,0,0,1,20.5,5,100,754,1
27,Self-Employed,657000,2.3,0,Home,1597000,36,0,0,0,95,243.07,11.53,0,3,35,5,1.9,2,96.44,647,0
31,Salaried,1292200,8.1,2,Business,3514000,48,2,193300,4820,85.82,271.94,19.52,0,0,0,4,0.5,6,100,671,1
44,Salaried,947500,7,2,Personal,2320000,36,1,37400,790,95,244.85,6.72,0,0,0,5,13.1,5,100,726,0
40,Salaried,648300,2.8,1,Business,1793000,72,2,1650700,41680,95,276.57,27.77,0,0,0,4,15.9,5,97.94,694,0
36,Professional,806200,9.5,1,Home,327000,60,2,247300,8880,23.93,40.56,57.45,1,1,12,0,13,6,92.64,680,0
36,Professional,578700,6.6,1,Personal,1263000,60,0,0,0,58.54,218.25,40.08,1,2,32,2,10.4,5,88.72,617,0
37,Salaried,483400,4.7,1,Personal,847000,48,3,370600,10220,78.57,175.22,28.1,0,1,7,3,17.2,8,97.42,709,0
29,Salaried,451500,9.2,1,Personal,995000,24,3,732600,17390,95,220.38,55,0,0,0,3,5.9,7,98.3,602,0
23,Salaried,754000,5.7,1,Education,1645000,60,0,0,0,62.96,218.17,7.74,0,0,0,1,0.5,4,94.46,668,1
41,Professional,1057300,3.2,2,Education,2788000,48,0,0,0,81.81,263.69,20.76,0,0,0,4,16.9,2,99.63,747,0
49,Self-Employed,330900,2.8,1,Vehicle,312000,72,3,427700,9950,59.71,94.29,20.43,0,0,0,0,25.4,4,98.52,744,1
41,Contract,718900,8.7,5,Home Renovation,986000,72,2,591600,19030,68,137.15,38.85,0,0,0,2,15,3,100,705,1
38,Salaried,302500,7,3,Home Renovation,204000,24,0,0,0,40.35,67.44,54.14,0,0,0,2,8.5,4,96.48,660,0
